VENDOR NAME,VENDOR WEBSITE,CATEGORY (category_id)
Brooks,http://www.brookscourier.com/,4
Burnetts Express,http://www.burnetts-express.com/,4
BWA,http://www.bwacourier.com/,4
Capital Express,http://www.capitalexpress.biz/,4
Cardinal Messenger,http://www.cardinalmessenger.com/,4
CDA Association,http://www.cadelivery.org,4
Central,http://centralcourierllc.com/,4
Checker,https://www.thecheckergroup.com,4
Chicago Messenger Service,http://www.chicagomessenger.com/customerlogin.html,4
Classic,http://classic-couriers.com,4
Clipper,http://www.clippercourierlogistics.com/,4
Clough Trucking,http://www.cloughtrucking.com/,4
Columbus Logistics,http://www.columbuscourier.com/,4
Comet Messenger,http://cometmessenger.com/,4
Corporate Messenger,http://www.corporate-courier-messenger.com/,4
Courier Express,http://www.courierexpress.net/,4
Courier Messenger CMI,http://shipcmi.com,4
Critelli,http://www.critellicouriers.com/,4
Cross Country,http://www.crosscountrycourier.com/,4
Crossroads,https://crossroadscourier.com/,4
CS Logistics,http://www.cslog.com/,4
Cupid,http://www.cupidcourier.com,4
Dart,http://dartcouriers.com/,4
Dash,http://www.dashcourier.com/,4
Daylight Transport,http://www.dylt.com/,4
DHL America,http://www.dhl-usa.com/en/express.html,4
DHL USA,http://www.dhl-usa.com/,4
Diligent Service,http://174.46.4.117/webtrakwt/shipinquiry/shiplookup.aspx,4
Direct Rush,http://www.directrush.com/,4
Douglas,http://www.douglasdelivery.com/,4
Drop Off,https://www.dropoff.com/dropoff-tracker,4
DTDC USA,http://usa.dtdc.com/,4
Easyship,https://www.easyship.com/shipment-tracking,4
EATA,https://www.elta-courier.gr/,4
Echo,https://www.echo.com/ShipmentTracking/EchoShipmentTrack.aspx,4
Eco Xpress,http://www.ecoxpress.com/,4
Econo,http://remote.econo-courier.com:82/online/,4
Edina,http://www.edinacouriers.com/,4
EPS,http://www.epscouriers.com/,4
Esquire Express,http://esquireexpress.com/,4
Expedited ECG,http://www.expeditedcouriergroup.com/,4
Expeditors,https://www.expeditors.com/,4
Express,http://www.expresscourier.net/,4
Extra Ship Service,https://www.extraship.com/orders/tracking,4
Falcon Express,http://www.falconexpresscourier.com/,4
Faultline Express,http://www.faultline-express.com,4
Federal Messenger,http://www.federalmessenger.com,4
Fedex,https://www.fedex.com,4
Fetchr Delivery,https://track.fetchr.us/,4
First Flight USA,http://www.firstflightusa.com/,4
Flash Delivery Service,https://0438.xdhosted.com/track.asp,4
Fleet,http://www.fleetcouriers.com/,4
Fleet Street,http://fleetstreetcouriers.com/,4
FSI,http://fsi-couriers.net,4
Fusion Logistics,http://www.solutionsbyfusion.com/tracking.php,4
General,http://www.generalcourier.com/,4
Georges Express,http://www.georgesexpress.com/,4
GF,https://www.gfdcourier.com/,4
Globegistics,https://globegisticsinc.com/track-your-parcel/,4
Go For Services,http://www.goforservices.com,4
God Speed,http://www.godspeedcourier.com,4
Gro Neck,http://www.groneckcourierservice.com,4
GSI Express,http://gsiexpress.com/,4
Hawaii,http://deliveryhawaii.com,4
Heaven Sent,http://track.heavensentcourier.com/,4
High Desert HD,https://hdcourier.com/,4
Hot Shot,http://www.hotshot-delivery.com/,4
I Parcel,https://tracking.i-parcel.com/,4
IMEX Global Solutions,https://www.imexglobalsolutions.com,4
IMEX Solutions,http://dm.mytracking.net/IMEX/track/Track.aspx,4
International Bonded IBC,https://www.ibcinc.com,4
Jaguar Courier Service Inc,http://www.jaguardelivers.com/,4
Jersey Post,http://www.jerseypost.com/track/,4
Jet Delivery,http://www.jetdelivery.com/track/,4
JMX,http://www.jmxdelivery.com/,4
Kwiki Express,http://www.kwikiexpress.com/,4
Laser Ship,http://www.lasership.com/track.php,4
LoneStar,http://www.lonestardeliveryonline.com,4
Magic Messengers,http://www.magicmessengers.com/,4
Mail Americas,http://tracking.mailamericas.com/search,4
Maine Logistics,http://www.mainelogistics.com/,4
Mary Land Messenger,http://www.marylandmessenger.com/,4
Mau Parcel,http://www.mauiparcelservice.com,4
Meest America,https://t.meest-group.com/tracking_meest.php?typ=usa&lang=en,4
Mercury Services,http://www.mercury-delivery.com,4
Metro Link,http://www.metrolinkabq.com/,4
Mitchell Data Movers,http://www.mitchellsdatamovers.com/,4
Modern Express,http://www.modernexpresscourier.com,4
Momentum,http://www.momentumcourier.net/,4
Mr Messenger,http://www.mrmessenger.com/,4
NAPAREX,http://www.naparex.com/,4
